engine,provider_type,provider,score,success_rate,avg_latency_seconds,cases
forum_engine,llm,deepseek-chat,4.238,1.0,1.896,6
forum_engine,llm,deepseek-reasoner,4.224,1.0,3.175,6
forum_engine,llm,qwen-plus-compatible,4.269,1.0,3.235,6
media_engine,llm,deepseek-chat,4.407,1.0,3.196,6
media_engine,llm,deepseek-reasoner,4.351,1.0,5.068,6
media_engine,llm,qwen-plus-compatible,4.418,1.0,5.673,6
media_engine,search,bocha,4.646,1.0,14.399,18
mindspider,llm,deepseek-chat,4.255,1.0,1.993,6
mindspider,llm,deepseek-reasoner,4.243,1.0,3.991,6
mindspider,llm,qwen-plus-compatible,4.378,1.0,5.217,6
mindspider,search,bocha,4.709,1.0,13.84,3
query_engine,llm,deepseek-chat,4.505,1.0,2.423,9
query_engine,llm,deepseek-reasoner,4.399,1.0,5.612,9
query_engine,llm,qwen-plus-compatible,4.466,1.0,6.286,9
query_engine,search,bocha,4.668,1.0,13.006,18
report_engine,llm,deepseek-chat,4.227,1.0,5.479,9
report_engine,llm,deepseek-reasoner,4.196,1.0,9.155,9
report_engine,llm,qwen-plus-compatible,4.167,1.0,12.373,9
