provider_type,engine,provider,case_id,auto_score,success,latency_seconds,needs_manual_score,manual_task_success_0_5,manual_grounding_0_5,manual_format_0_5,manual_notes,error,output_excerpt
llm,media_engine,deepseek-chat,media_synthesis_cn_policy_industry#r1,4.669,True,3.518,yes,,,,,,"{ ""summary"": ""当前关于低空经济的舆论呈现多元态势：央媒聚焦政策与投资利好，地方媒体关注无人机物流的实用性与噪音问题，社交平台热议隐私、安全及就业影响，行业报告则指出基础设施与监管标准尚不成熟。"", ""narratives"": [ { ""claim"": ""低空经济试点获得政策支持和产业投资推动"", ""stance"": ""support"", ""evidence"": [""央媒报道某城市低空经济试点，强调政策支持和产业投资""] }, { ""claim"": ""无人机物流试运行提升效率但带来噪音问题"", ""stance"": ""neutral"", ""evidence"": [""地方媒体报道无人机物流试运行，市民反馈效率提升但噪音增加""] }, { ""claim"": ""低空经济引发隐私、飞行安全和就业影响等担忧"", ""stance"": ""oppose"", ""evidence"": [""社交平台讨论集中在隐私、飞行安全、就业影响""] }, { ""claim"": ""低空经济的基础设施和监管标准仍不成熟"", ""stance"": ""oppose"", ""evidence"": [""一篇行业报告称基础设施和监管标准仍不成熟""] } ], ""risks"": [ ""隐私泄露风险"", ""飞行安全事故隐患"", ""对传统就业岗位的冲击"", ""基础设施和监管标准滞后可能阻碍发展"" ], ""missing_info..."
llm,media_engine,deepseek-chat,media_synthesis_cn_policy_industry#r2,4.669,True,3.507,yes,,,,,,"{ ""summary"": ""当前媒体对低空经济的报道呈现政策支持与产业投资积极、实际运行中效率提升但存在噪音问题、社交平台关注隐私与安全风险、行业报告指出基础设施和监管标准不成熟的多面性。"", ""narratives"": [ { ""claim"": ""低空经济试点获得政策支持和产业投资，发展前景良好。"", ""stance"": ""support"", ""evidence"": [""央媒报道某城市低空经济试点，强调政策支持和产业投资。""] }, { ""claim"": ""无人机物流试运行提升了效率，但带来噪音增加问题。"", ""stance"": ""neutral"", ""evidence"": [""地方媒体报道无人机物流试运行，市民反馈效率提升但噪音增加。""] }, { ""claim"": ""社交平台讨论集中在隐私、飞行安全、就业影响等风险。"", ""stance"": ""neutral"", ""evidence"": [""社交平台讨论集中在隐私、飞行安全、就业影响。""] }, { ""claim"": ""低空经济的基础设施和监管标准仍不成熟。"", ""stance"": ""oppose"", ""evidence"": [""一篇行业报告称基础设施和监管标准仍不成熟。""] } ], ""risks"": [ ""噪音问题可能影响居民生活满意度"", ""隐私泄露风险引发公众担忧"", ""飞行安全存在隐患"", ""就业结构变化可能带来社会..."
llm,media_engine,deepseek-chat,media_synthesis_cn_policy_industry#r3,4.658,True,4.402,yes,,,,,,"{ ""summary"": ""当前关于低空经济的媒体报道和讨论呈现多元视角：央媒和地方媒体主要聚焦政策支持、产业投资及无人机物流试运行的积极成效，但社交平台和行业报告则突出隐私、飞行安全、就业影响以及基础设施与监管标准不成熟等挑战。"", ""narratives"": [ { ""claim"": ""低空经济试点获得政策支持和产业投资，具有发展潜力。"", ""stance"": ""support"", ""evidence"": [ ""央媒报道某城市低空经济试点，强调政策支持和产业投资。"" ] }, { ""claim"": ""无人机物流试运行提升了效率，但带来噪音问题。"", ""stance"": ""neutral"", ""evidence"": [ ""地方媒体报道无人机物流试运行，市民反馈效率提升但噪音增加。"" ] }, { ""claim"": ""低空经济引发隐私、飞行安全和就业影响等担忧。"", ""stance"": ""oppose"", ""evidence"": [ ""社交平台讨论集中在隐私、飞行安全、就业影响。"" ] }, { ""claim"": ""低空经济的基础设施和监管标准仍不成熟。"", ""stance"": ""oppose"", ""evidence"": [ ""一篇行业报告称基础设施和监管标准仍不成熟。"" ] } ], ""risks"": [ ""隐私泄露风险：无人机运行可能侵犯居民隐私。"", ""飞行安全隐患：低空飞行..."
llm,media_engine,deepseek-chat,media_conflict_noise_filtering#r1,4.223,True,3.229,yes,,,,,,"```json { ""dominant_frames"": [ ""多个短视频账号称某饮料含有违规添加剂，但没有检测报告"", ""品牌方称产品批次符合标准，已送第三方复检"", ""地方市场监管部门发布通报：已抽检，结果待公布"", ""消费者投诉集中在异味、腹泻联想和客服回应慢"", ""一家自媒体把不同地区旧闻混在一起传播"" ], ""noise"": [ ""多个短视频账号称某饮料含有违规添加剂，但没有检测报告（缺乏证据，属于未证实传言）"", ""一家自媒体把不同地区旧闻混在一起传播（信息混淆，增加不确定性）"", ""消费者投诉集中在异味、腹泻联想和客服回应慢（主观联想，非直接证据）"" ], ""credible_evidence"": [ ""品牌方称产品批次符合标准，已送第三方复检（品牌方声明，但需验证）"", ""地方市场监管部门发布通报：已抽检，结果待公布（官方行动，但结果未出）"" ], ""risk_level"": ""medium"", ""reason"": ""当前事件存在未证实的违规添加剂指控（短视频账号无检测报告）和旧闻混淆（自媒体行为），但品牌方已启动复检且市场监管部门已抽检，结果待公布。消费者投诉虽涉及异味和腹泻联想，但缺乏直接证据。风险等级为中等，因官方结果未出前无法排除潜在问题，但现有信息不足以确认违规。"" } ```"
llm,media_engine,deepseek-chat,media_conflict_noise_filtering#r2,4.0,True,1.933,yes,,,,,,"```json { ""dominant_frames"": [""多个短视频账号称某饮料含有违规添加剂，但没有检测报告"", ""品牌方称产品批次符合标准，已送第三方复检"", ""地方市场监管部门发布通报：已抽检，结果待公布""], ""noise"": [""消费者投诉集中在异味、腹泻联想和客服回应慢"", ""一家自媒体把不同地区旧闻混在一起传播""], ""credible_evidence"": [""品牌方称产品批次符合标准，已送第三方复检"", ""地方市场监管部门发布通报：已抽检，结果待公布""], ""risk_level"": ""medium"", ""reason"": ""目前缺乏权威检测报告证实违规添加剂的存在，品牌方和市场监管部门均表示正在复检或抽检中，但消费者投诉和自媒体传播的旧闻增加了不确定性，风险等级为中等。"" } ```"
llm,media_engine,deepseek-chat,media_conflict_noise_filtering#r3,4.225,True,2.588,yes,,,,,,"```json { ""dominant_frames"": [""多个短视频账号称某饮料含有违规添加剂，但没有检测报告"", ""品牌方称产品批次符合标准，已送第三方复检"", ""地方市场监管部门发布通报：已抽检，结果待公布"", ""消费者投诉集中在异味、腹泻联想和客服回应慢"", ""一家自媒体把不同地区旧闻混在一起传播""], ""noise"": [""多个短视频账号称某饮料含有违规添加剂，但没有检测报告"", ""消费者投诉集中在异味、腹泻联想和客服回应慢"", ""一家自媒体把不同地区旧闻混在一起传播""], ""credible_evidence"": [""品牌方称产品批次符合标准，已送第三方复检"", ""地方市场监管部门发布通报：已抽检，结果待公布""], ""risk_level"": ""medium"", ""reason"": ""当前事件存在未经证实的违规添加剂指控（来自短视频账号，无检测报告），但品牌方和市场监管部门已介入，有官方抽检待结果。消费者投诉和自媒体旧闻混传增加了不确定性，但缺乏确凿证据证明产品存在系统性安全问题。风险等级为中等，需等待官方检测结果确认。"" } ```"
llm,query_engine,deepseek-chat,query_stance_json#r1,4.705,True,2.652,yes,,,,,,"{ ""items"": [ { ""source"": ""政府官网：将开展专项整治，保障消费者权益。"", ""stance"": ""official"", ""confidence"": 0.95, ""reason"": ""政府官网发布整治行动，属于官方立场，旨在维护消费者权益。"" }, { ""source"": ""企业公告：产品符合现行标准，个别问题已启动召回。"", ""stance"": ""support"", ""confidence"": 0.85, ""reason"": ""企业公告强调产品合规并主动召回，表明支持自身产品并积极应对问题。"" }, { ""source"": ""消费者帖子：用了三天就坏，客服不处理。"", ""stance"": ""oppose"", ""confidence"": 0.8, ""reason"": ""消费者投诉产品质量和客服问题，表达反对或不满立场。"" }, { ""source"": ""行业专家：目前证据不足，需要第三方检测。"", ""stance"": ""neutral"", ""confidence"": 0.9, ""reason"": ""专家持中立态度，呼吁进一步检测，未明确支持或反对。"" } ], ""gaps"": [ ""缺少对消费者投诉的具体调查结果"", ""缺少第三方检测报告或权威验证"" ] }"
llm,query_engine,deepseek-chat,query_stance_json#r2,4.705,True,2.679,yes,,,,,,"{ ""items"": [ { ""source"": ""政府官网：将开展专项整治，保障消费者权益。"", ""stance"": ""official"", ""confidence"": 0.95, ""reason"": ""政府官网发布专项整治信息，属于官方立场，旨在保障消费者权益。"" }, { ""source"": ""企业公告：产品符合现行标准，个别问题已启动召回。"", ""stance"": ""support"", ""confidence"": 0.85, ""reason"": ""企业公告强调产品符合标准并主动召回，表明支持自身产品并积极应对问题。"" }, { ""source"": ""消费者帖子：用了三天就坏，客服不处理。"", ""stance"": ""oppose"", ""confidence"": 0.8, ""reason"": ""消费者投诉产品质量和客服问题，表达反对立场。"" }, { ""source"": ""行业专家：目前证据不足，需要第三方检测。"", ""stance"": ""neutral"", ""confidence"": 0.9, ""reason"": ""行业专家持中立态度，认为证据不足，建议第三方检测。"" } ], ""gaps"": [ ""缺少来自第三方检测机构的权威报告或数据。"", ""缺少消费者权益组织或媒体的独立调查结果。"" ] }"
llm,query_engine,deepseek-chat,query_stance_json#r3,4.705,True,2.881,yes,,,,,,"{ ""items"": [ { ""source"": ""政府官网：将开展专项整治，保障消费者权益。"", ""stance"": ""official"", ""confidence"": 0.95, ""reason"": ""政府官网发布官方行动声明，属于官方立场。"" }, { ""source"": ""企业公告：产品符合现行标准，个别问题已启动召回。"", ""stance"": ""support"", ""confidence"": 0.85, ""reason"": ""企业公告维护产品标准，但承认个别问题并召回，整体偏向支持自身立场。"" }, { ""source"": ""消费者帖子：用了三天就坏，客服不处理。"", ""stance"": ""oppose"", ""confidence"": 0.9, ""reason"": ""消费者负面体验，明确表达不满和反对。"" }, { ""source"": ""行业专家：目前证据不足，需要第三方检测。"", ""stance"": ""neutral"", ""confidence"": 0.8, ""reason"": ""专家持中立态度，呼吁进一步证据，未明确支持或反对。"" } ], ""gaps"": [ ""缺少来自第三方检测机构的权威数据或报告"", ""缺少消费者权益组织的官方声明或调查结果"", ""缺少企业针对消费者投诉的具体回应细节"" ] }"
llm,query_engine,deepseek-chat,query_planner_multisource#r1,4.705,True,2.533,yes,,,,,,"{ ""queries"": [ { ""query"": ""某新能源车品牌 充电故障 官方回应 声明"", ""target_stance"": ""official"", ""target_source"": ""bocha"", ""priority"": 1, ""reason"": ""获取品牌方对充电故障投诉上升的官方声明或回应，了解官方立场和解释。"" }, { ""query"": ""某新能源车品牌 充电故障 投诉 消费者 反馈"", ""target_stance"": ""support"", ""target_source"": ""tavily"", ""priority"": 2, ""reason"": ""收集消费者关于充电故障的具体投诉和反馈，了解问题表现和用户诉求。"" }, { ""query"": ""某新能源车品牌 充电故障 媒体报道 新闻"", ""target_stance"": ""neutral"", ""target_source"": ""any"", ""priority"": 3, ""reason"": ""获取媒体对充电故障投诉上升的报道，了解事件传播情况和舆论焦点。"" }, { ""query"": ""新能源车 充电故障 第三方检测 专家分析 原因"", ""target_stance"": ""neutral"", ""target_source"": ""any"", ""priority"": 4, ""reason"": ""查找第三方检测机构或行..."
