engine,provider_type,provider,score,success_rate,avg_latency_seconds,cases
forum_engine,llm,deepseek-chat,4.139,1.0,1.759,2
forum_engine,llm,deepseek-reasoner,4.273,1.0,2.682,2
forum_engine,llm,qwen-plus-compatible,4.166,1.0,3.96,2
media_engine,llm,deepseek-chat,4.444,1.0,3.177,2
media_engine,llm,deepseek-reasoner,4.324,1.0,4.149,2
media_engine,llm,qwen-plus-compatible,4.531,1.0,5.612,2
media_engine,search,bocha,4.688,1.0,15.072,6
mindspider,llm,deepseek-chat,4.255,1.0,1.856,2
mindspider,llm,deepseek-reasoner,4.255,1.0,2.497,2
mindspider,llm,qwen-plus-compatible,4.385,1.0,4.617,2
mindspider,search,bocha,4.726,1.0,12.956,1
query_engine,llm,deepseek-chat,4.492,1.0,2.436,3
query_engine,llm,deepseek-reasoner,4.395,1.0,5.879,3
query_engine,llm,qwen-plus-compatible,4.474,1.0,5.412,3
query_engine,search,bocha,4.751,1.0,14.666,6
report_engine,llm,deepseek-chat,4.225,1.0,5.71,3
report_engine,llm,deepseek-reasoner,4.196,1.0,9.029,3
report_engine,llm,qwen-plus-compatible,4.079,1.0,10.381,3
